reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,Value (kUSD),Balance (kUSD),Quantity,Quantity Unit,Unit Value,Unit Value Unit,Share World (%),Growth Value 5Y (%),Growth Value 2Y (%),Growth Quantity 5Y (%),Distance (km),Concentration
428,Letonia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",815,-753,102.000,Toneladas,7990.196078431372549019607843,USD/Toneladas,0.105316,-5,4,-9,866,0.5013
417,Kirguistán,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",769,-670,163.000,Toneladas,4717.7914110429447852760736196,USD/Toneladas,0.09937181,157,89,182,8752,0.3982
268,Georgia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",701,-692,201.000,Toneladas,3487.5621890547263681592039801,USD/Toneladas,0.09056306,54,60,3,2483,0.6679
070,Bosnia y Herzegovina,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",526,-526,122.000,Toneladas,4311.4754098360655737704918033,USD/Toneladas,0.06798293,26,19,15,2788,0.3141
352,Islandia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",455,-455,32.000,Toneladas,14218.75,USD/Toneladas,0.05879514,-3,26,-5,4263,0.3025
414,Kuwait,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",427,-427,49.000,Toneladas,8714.285714285714285714285714,USD/Toneladas,0.05512672,9,31,9,11270,0.551
688,Serbia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",372,-372,110.000,Toneladas,3381.8181818181818181818181818,USD/Toneladas,0.0481208,6,39,1,3243,0.2412
634,Qatar,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",363,-363,54.000,Toneladas,6722.2222222222222222222222222,USD/Toneladas,0.04695434,26,31,39,6990,0.2859
496,Mongolia,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",353,-353,94.000,Toneladas,3755.3191489361702127659574468,USD/Toneladas,0.04566494,27,10,,1671,0.9944
702,Singapur,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",337,-336,27.000,Toneladas,12481.481481481481481481481481,USD/Toneladas,0.04354446,2,0,21,9222,0.2894
682,Arabia Saudita,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",335,-301,38.000,Toneladas,8815.789473684210526315789474,USD/Toneladas,0.04325645,34,-62,31,6194,0.5014
008,Albania,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",303,-303,30.000,Toneladas,10100,USD/Toneladas,0.03913053,30,14,20,1523,0.7734
860,Uzbekistán,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",302,-298,44.000,Toneladas,6863.6363636363636363636363636,USD/Toneladas,0.03900956,67,1090,149,13227,0.8265
858,Uruguay,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",300,-300,31.000,Toneladas,9677.419354838709677419354839,USD/Toneladas,0.0387647,15,23,8,4358,0.9934
512,Omán,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",297,-297,38.000,Toneladas,7815.7894736842105263157894737,USD/Toneladas,0.03838884,57,41,25,4064,0.4915
442,Luxemburgo,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",286,-279,68.000,Toneladas,4205.8823529411764705882352941,USD/Toneladas,0.03695753,4,8,5,1425,0.4637
480,Mauricio,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",283,-283,35.000,Toneladas,8085.714285714285714285714286,USD/Toneladas,0.03658633,61,53,61,3044,1
558,Nicaragua,000,Mundo,060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",273,-273,48.000,Toneladas,5687.5,USD/Toneladas,0.03532243,18,-1,16,1360,0.6168
